frame_number,vehicle_id,speed,license_plate,is_overspeed,x1,y1,x2,y2,confidence
7,1,8.85,N/A,False,858,64,963,163,0.6
8,1,8.64,N/A,False,861,68,969,168,0.55
11,1,8.57,N/A,False,874,84,995,196,0.54
12,1,8.63,N/A,False,881,90,1001,207,0.56
13,1,8.72,N/A,False,885,95,1010,215,0.51
15,1,8.91,N/A,False,894,110,1030,241,0.69
17,1,9.4,N/A,False,907,124,1055,265,0.59
18,1,10.02,N/A,False,914,133,1065,279,0.61
19,1,10.74,N/A,False,919,143,1079,293,0.7
20,1,11.56,N/A,False,927,148,1093,308,0.73
21,1,12.4,N/A,False,936,155,1110,324,0.67
22,1,13.4,N/A,False,944,169,1127,343,0.74
23,1,14.42,N/A,False,952,179,1144,364,0.78
24,1,15.57,N/A,False,962,191,1165,388,0.78
25,1,17.03,N/A,False,973,205,1189,411,0.76
26,1,18.65,N/A,False,986,218,1216,436,0.67
27,1,20.39,N/A,False,999,236,1242,469,0.66
32,3,33.16,N/A,False,1076,331,1279,667,0.81
33,3,32.85,N/A,False,1095,353,1279,706,0.86
34,3,31.39,N/A,False,1120,385,1279,695,0.86
35,3,30.0,N/A,False,1146,415,1279,704,0.85
36,3,28.37,N/A,False,1176,447,1279,710,0.71
109,4,1.35,N/A,False,73,0,150,38,0.55
110,4,1.35,N/A,False,72,0,150,38,0.57
111,4,1.35,N/A,False,75,1,150,38,0.59
112,4,1.35,N/A,False,77,1,150,40,0.63
113,4,1.35,N/A,False,76,1,149,41,0.65
114,4,1.35,N/A,False,76,1,149,41,0.66
115,4,1.35,N/A,False,78,2,149,43,0.6
116,4,1.35,N/A,False,78,3,149,43,0.62
117,4,1.35,N/A,False,78,3,149,43,0.65
118,4,1.35,N/A,False,78,3,149,43,0.63
119,4,1.35,N/A,False,78,3,151,45,0.6
120,4,1.35,N/A,False,78,4,153,45,0.63
121,4,1.35,N/A,False,78,3,153,45,0.64
122,4,1.35,N/A,False,78,3,151,45,0.66
123,4,1.35,N/A,False,78,3,151,45,0.66
124,4,1.35,N/A,False,78,4,152,47,0.61
125,4,1.35,N/A,False,77,4,153,48,0.65
126,4,1.35,N/A,False,77,4,153,48,0.65
127,4,1.35,N/A,False,77,4,153,48,0.62
128,4,1.35,N/A,False,77,4,153,48,0.65
129,6,1.35,N/A,False,681,24,719,55,0.67
129,4,1.51,N/A,False,80,4,154,48,0.64
130,6,1.35,N/A,False,681,24,719,56,0.69
130,4,1.63,N/A,False,79,5,154,48,0.66
131,6,1.43,N/A,False,682,27,719,57,0.66
131,4,1.71,N/A,False,79,4,154,48,0.64
132,6,1.49,N/A,False,681,27,719,59,0.72
132,4,1.77,N/A,False,79,5,154,48,0.65
133,6,1.53,N/A,False,682,28,719,60,0.77
133,4,1.73,N/A,False,79,3,155,48,0.63
134,6,1.64,N/A,False,683,29,720,60,0.78
134,4,1.61,N/A,False,79,3,154,49,0.62
135,6,1.72,N/A,False,683,28,720,60,0.76
135,4,1.53,N/A,False,80,3,154,47,0.61
136,6,1.61,N/A,False,683,29,721,61,0.79
136,4,1.48,N/A,False,80,4,155,46,0.63
137,6,1.53,N/A,False,683,29,722,61,0.79
137,4,1.44,N/A,False,81,4,155,46,0.62
138,6,1.47,N/A,False,684,29,723,62,0.76
138,4,1.41,N/A,False,80,4,155,46,0.64
139,6,1.44,N/A,False,683,29,723,63,0.68
140,6,1.41,N/A,False,684,28,724,63,0.72
140,4,1.33,N/A,False,80,2,154,44,0.52
141,6,1.51,N/A,False,683,29,724,65,0.76
141,4,1.22,N/A,False,80,3,154,45,0.55
142,6,1.58,N/A,False,683,29,725,66,0.71
142,7,1.35,N/A,False,605,31,650,69,0.63
142,4,1.14,N/A,False,81,3,155,45,0.52
143,6,1.59,N/A,False,682,29,724,67,0.69
143,7,1.35,N/A,False,603,30,649,69,0.59
143,4,1.08,N/A,False,81,2,155,44,0.56
144,6,1.69,N/A,False,683,33,724,69,0.7
144,7,1.35,N/A,False,604,31,649,70,0.58
145,6,1.76,N/A,False,683,35,725,70,0.74
145,7,1.35,N/A,False,603,32,648,71,0.64
145,4,1.04,N/A,False,81,2,156,44,0.57
146,6,1.78,N/A,False,683,36,725,71,0.65
146,4,1.04,N/A,False,81,2,155,44,0.58
147,6,1.81,N/A,False,683,38,725,72,0.68
147,8,1.35,N/A,False,750,15,786,52,0.68
147,4,1.04,N/A,False,80,1,156,45,0.55
148,6,1.88,N/A,False,683,38,726,73,0.64
148,4,1.3,N/A,False,78,0,158,43,0.54
148,8,1.35,N/A,False,750,14,789,52,0.5
149,4,1.48,N/A,False,78,0,157,43,0.61
149,6,1.8,N/A,False,683,38,727,73,0.57
149,7,1.34,N/A,False,601,33,647,75,0.55
150,6,1.83,N/A,False,683,37,727,74,0.6
150,7,1.3,N/A,False,600,34,647,76,0.6
150,8,1.3,N/A,False,750,12,791,51,0.51
151,8,1.29,N/A,False,751,12,792,52,0.6
151,7,1.25,N/A,False,599,36,647,76,0.52
152,7,1.3,N/A,False,597,37,646,78,0.55
153,7,1.43,N/A,False,593,38,646,80,0.65
153,6,1.74,N/A,False,684,39,731,77,0.59
153,8,1.24,N/A,False,752,11,795,54,0.52
154,7,1.61,N/A,False,593,40,646,81,0.71
154,6,1.71,N/A,False,684,42,732,79,0.64
155,7,1.75,N/A,False,591,41,646,82,0.71
155,6,1.69,N/A,False,685,42,732,81,0.67
156,6,1.67,N/A,False,684,41,732,82,0.74
156,7,1.84,N/A,False,593,42,646,84,0.67
157,7,1.91,N/A,False,591,41,645,86,0.71
157,6,1.69,N/A,False,684,43,732,84,0.69
158,7,1.9,N/A,False,594,42,646,86,0.69
158,6,1.79,N/A,False,684,43,733,86,0.67
158,4,1.34,N/A,False,80,0,157,41,0.5
159,7,1.85,N/A,False,594,43,645,87,0.68
159,6,1.74,N/A,False,683,44,731,87,0.61
160,7,1.85,N/A,False,594,43,643,88,0.7
160,6,1.75,N/A,False,680,45,732,90,0.53
161,7,1.95,N/A,False,591,45,643,92,0.68
161,6,1.79,N/A,False,684,47,732,90,0.65
161,4,1.25,N/A,False,79,0,158,42,0.52
162,7,2.11,N/A,False,586,47,642,94,0.67
162,6,1.82,N/A,False,684,48,733,92,0.54
162,4,1.18,N/A,False,79,0,157,41,0.51
163,6,1.83,N/A,False,684,50,733,93,0.73
163,7,2.25,N/A,False,587,48,642,95,0.64
163,4,1.05,N/A,False,79,0,156,39,0.53
164,7,2.43,N/A,False,586,49,640,98,0.73
164,6,1.85,N/A,False,685,51,733,94,0.72
164,4,0.96,N/A,False,79,0,156,39,0.53
165,6,1.84,N/A,False,685,53,734,96,0.77
165,7,2.51,N/A,False,588,50,640,100,0.71
165,4,1.08,N/A,False,80,0,157,40,0.52
166,6,1.83,N/A,False,683,54,734,99,0.79
166,7,2.52,N/A,False,588,51,641,101,0.74
166,4,1.16,N/A,False,79,0,157,41,0.52
167,6,1.85,N/A,False,686,54,735,101,0.81
167,7,2.4,N/A,False,586,52,640,105,0.78
167,4,1.21,N/A,False,79,0,156,39,0.53
168,6,1.91,N/A,False,685,57,735,103,0.83
168,7,2.32,N/A,False,584,53,640,108,0.8
168,4,1.25,N/A,False,79,0,156,39,0.52
169,6,2.02,N/A,False,684,57,736,105,0.83
169,7,2.36,N/A,False,581,56,639,110,0.77
169,4,1.28,N/A,False,80,0,157,40,0.54
170,6,2.05,N/A,False,686,58,737,107,0.84
170,7,2.49,N/A,False,575,58,639,113,0.71
170,4,1.3,N/A,False,79,0,156,40,0.54
171,6,2.11,N/A,False,687,60,739,108,0.8
171,7,2.57,N/A,False,578,57,639,114,0.62
171,4,1.31,N/A,False,79,0,156,40,0.52
172,6,2.22,N/A,False,686,63,739,111,0.83
172,7,2.69,N/A,False,579,59,638,118,0.63
172,4,1.32,N/A,False,79,0,155,39,0.56
173,6,2.18,N/A,False,686,63,740,114,0.81
173,7,2.84,N/A,False,578,62,637,120,0.64
173,4,1.33,N/A,False,79,0,155,39,0.56
174,6,2.2,N/A,False,686,66,740,117,0.8
174,7,2.84,N/A,False,576,65,637,122,0.66
174,4,1.33,N/A,False,80,0,156,39,0.58
175,7,2.73,N/A,False,575,66,637,125,0.69
175,6,2.32,N/A,False,687,68,741,120,0.68
175,4,1.33,N/A,False,80,0,157,38,0.6
176,6,2.42,N/A,False,684,71,742,124,0.73
176,7,2.68,N/A,False,575,68,637,129,0.67
176,4,1.33,N/A,False,80,0,157,39,0.53
177,6,2.38,N/A,False,686,72,742,125,0.79
177,7,2.71,N/A,False,571,70,636,133,0.64
177,4,1.33,N/A,False,80,0,157,39,0.58
178,6,2.41,N/A,False,687,74,743,127,0.81
178,7,2.73,N/A,False,572,73,636,136,0.65
178,4,1.33,N/A,False,80,0,157,39,0.55
179,6,2.43,N/A,False,687,76,744,131,0.86
179,7,2.75,N/A,False,575,75,636,137,0.67
179,4,1.33,N/A,False,81,0,158,40,0.55
180,6,2.39,N/A,False,686,78,746,133,0.84
180,7,2.73,N/A,False,575,76,638,139,0.62
180,4,1.34,N/A,False,80,0,157,39,0.58
181,6,2.36,N/A,False,687,80,747,137,0.8
181,7,2.94,N/A,False,566,80,636,144,0.65
181,4,1.34,N/A,False,80,0,158,41,0.54
182,6,2.49,N/A,False,687,83,748,141,0.85
182,7,3.02,N/A,False,566,82,636,149,0.73
183,6,2.56,N/A,False,687,85,748,143,0.84
183,7,3.14,N/A,False,565,86,635,152,0.67
183,4,1.34,N/A,False,80,0,159,42,0.53
184,6,2.63,N/A,False,686,88,750,147,0.84
184,7,3.27,N/A,False,562,89,636,155,0.77
184,4,1.34,N/A,False,81,0,159,42,0.58
184,9,1.53,N/A,False,605,18,652,56,0.51
185,6,2.78,N/A,False,687,91,751,151,0.81
185,7,3.48,N/A,False,561,91,634,159,0.71
185,4,1.34,N/A,False,82,0,159,41,0.57
186,7,3.47,N/A,False,559,94,633,164,0.74
186,6,2.89,N/A,False,687,92,751,152,0.73
186,4,1.34,N/A,False,81,0,159,42,0.59
186,10,2.78,N/A,False,784,54,848,110,0.57
186,9,1.55,N/A,False,611,22,652,57,0.55
187,6,2.97,N/A,False,686,95,752,157,0.83
187,7,3.49,N/A,False,557,96,632,168,0.79
187,10,2.71,N/A,False,784,55,850,114,0.65
187,4,1.34,N/A,False,81,0,159,43,0.6
188,6,3.11,N/A,False,687,97,754,161,0.85
188,7,3.4,N/A,False,557,97,630,171,0.79
188,10,2.58,N/A,False,785,55,851,115,0.57
188,4,1.34,N/A,False,82,0,159,42,0.56
189,6,3.28,N/A,False,688,100,755,166,0.79
189,7,3.33,N/A,False,555,99,629,175,0.68
189,4,1.34,N/A,False,80,0,159,42,0.61
189,10,2.55,N/A,False,787,57,855,117,0.59
190,6,3.31,N/A,False,687,102,755,170,0.85
190,7,3.37,N/A,False,555,103,628,181,0.74
190,10,2.61,N/A,False,788,59,859,121,0.62
190,4,1.34,N/A,False,81,0,159,42,0.6
191,6,3.32,N/A,False,687,106,757,173,0.86
191,10,2.69,N/A,False,791,63,862,123,0.75
191,7,3.4,N/A,False,552,108,628,184,0.58
191,4,1.34,N/A,False,81,0,159,43,0.56
192,6,3.4,N/A,False,689,110,759,178,0.8
192,7,3.5,N/A,False,548,111,627,189,0.66
192,10,2.82,N/A,False,792,66,864,126,0.64
192,4,1.34,N/A,False,81,0,159,44,0.58
193,6,3.45,N/A,False,690,113,760,182,0.79
193,7,3.73,N/A,False,547,114,627,196,0.7
193,10,3.02,N/A,False,793,67,866,131,0.58
193,4,1.34,N/A,False,81,0,159,44,0.56
194,6,3.44,N/A,False,689,115,763,186,0.78
194,7,3.96,N/A,False,544,118,626,200,0.78
194,10,3.11,N/A,False,794,69,868,134,0.68
194,4,1.34,N/A,False,82,0,159,43,0.53
194,9,1.53,N/A,False,604,30,651,67,0.53
195,7,4.02,N/A,False,543,121,626,204,0.8
195,6,3.51,N/A,False,691,119,765,190,0.77
195,10,3.17,N/A,False,796,70,873,137,0.63
195,9,1.52,N/A,False,603,29,650,68,0.61
195,4,1.34,N/A,False,81,0,159,44,0.57
196,6,3.62,N/A,False,689,120,766,197,0.85
196,7,4.25,N/A,False,539,125,624,213,0.78
196,10,3.22,N/A,False,800,72,875,140,0.7
196,9,1.59,N/A,False,603,30,650,69,0.66
196,11,1.35,N/A,False,679,41,728,93,0.64
196,8,1.13,N/A,False,759,19,799,53,0.58
196,4,1.34,N/A,False,83,0,159,43,0.55
197,6,3.67,N/A,False,690,125,766,201,0.87
197,7,4.3,N/A,False,538,127,624,217,0.75
197,10,3.17,N/A,False,800,74,878,141,0.74
197,8,1.06,N/A,False,759,17,800,55,0.71
197,9,1.61,N/A,False,604,30,650,72,0.67
197,4,1.35,N/A,False,82,0,159,43,0.57
197,11,1.35,N/A,False,681,42,728,94,0.55
198,6,3.72,N/A,False,691,128,768,205,0.83
198,8,1.07,N/A,False,760,18,802,55,0.77
198,10,3.26,N/A,False,802,79,881,145,0.72
198,7,4.38,N/A,False,531,129,623,224,0.66
198,9,1.62,N/A,False,602,30,651,73,0.65
198,11,1.35,N/A,False,681,43,729,96,0.62
198,4,1.35,N/A,False,82,0,159,43,0.56
199,6,3.8,N/A,False,691,130,770,211,0.79
199,10,3.37,N/A,False,805,81,884,148,0.74
199,7,4.54,N/A,False,529,134,622,231,0.71
199,9,1.78,N/A,False,602,31,650,74,0.67
199,8,1.2,N/A,False,762,22,802,56,0.66
199,11,1.6,N/A,False,681,51,730,98,0.63
199,4,1.35,N/A,False,81,0,159,43,0.59
200,6,3.84,N/A,False,691,135,772,214,0.8
200,7,4.76,N/A,False,528,140,621,235,0.78
200,11,1.73,N/A,False,681,51,732,100,0.7
200,10,3.53,N/A,False,806,83,889,153,0.66
200,9,1.88,N/A,False,602,31,650,75,0.66
200,4,1.35,N/A,False,81,0,159,43,0.58
200,8,1.35,N/A,False,761,20,803,56,0.57
201,6,3.91,N/A,False,690,137,773,222,0.82
201,7,4.77,N/A,False,526,143,620,241,0.7
201,11,1.82,N/A,False,684,52,731,101,0.69
201,9,1.84,N/A,False,601,32,650,76,0.67
201,10,3.65,N/A,False,808,85,894,156,0.66
201,8,1.57,N/A,False,761,20,805,58,0.58
201,4,1.35,N/A,False,81,0,159,43,0.57
202,6,4.04,N/A,False,691,143,776,228,0.79
202,10,3.79,N/A,False,810,86,895,161,0.67
202,9,1.69,N/A,False,602,33,649,76,0.66
202,7,4.96,N/A,False,523,147,619,249,0.65
202,11,1.97,N/A,False,683,53,731,105,0.65
202,8,1.67,N/A,False,762,21,807,59,0.63
202,4,1.35,N/A,False,81,0,159,43,0.58
203,6,4.19,N/A,False,693,146,779,231,0.76
203,10,3.82,N/A,False,812,88,899,165,0.74
203,11,2.15,N/A,False,683,53,731,106,0.61
203,9,1.59,N/A,False,600,34,648,77,0.6
203,8,1.74,N/A,False,763,21,808,60,0.59
203,4,1.35,N/A,False,80,0,158,44,0.59
203,7,5.14,N/A,False,520,151,618,257,0.56
204,6,4.4,N/A,False,693,150,781,239,0.78
204,10,4.01,N/A,False,815,93,903,170,0.68
204,9,1.68,N/A,False,599,36,648,80,0.63
204,4,1.35,N/A,False,81,0,158,42,0.62
204,11,2.15,N/A,False,683,55,733,109,0.6
204,7,5.24,N/A,False,516,154,616,264,0.58
205,6,4.66,N/A,False,692,155,782,245,0.79
205,10,4.09,N/A,False,817,96,908,172,0.67
205,4,1.35,N/A,False,81,0,158,43,0.61
205,9,1.71,N/A,False,600,36,648,82,0.61
205,8,1.72,N/A,False,767,24,812,63,0.57
205,7,5.47,N/A,False,514,161,616,274,0.55
205,11,2.15,N/A,False,684,56,734,110,0.54
206,6,4.85,N/A,False,693,159,784,252,0.81
206,10,4.1,N/A,False,819,98,911,175,0.66
206,9,1.72,N/A,False,599,37,648,84,0.63
206,4,1.35,N/A,False,80,0,158,44,0.58
206,7,5.81,N/A,False,507,167,615,282,0.58
206,8,1.73,N/A,False,766,26,813,64,0.54
