frame_number,vehicle_id,speed,license_plate,license_plate_confidence,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
3,2,72.7,N/A,0.0,False,318,95,396,222,0.52,bus,0.12
4,2,69.1,N/A,0.0,False,318,95,392,216,0.73,bus,0.16
7,1,19.09,N/A,0.0,False,241,16,257,30,0.63,car,0.28
7,1,19.09,N/A,0.0,False,222,51,249,75,0.57,car,0.28
7,2,64.94,N/A,0.0,False,317,95,385,197,0.56,bus,0.28
8,1,19.09,N/A,0.0,False,241,16,257,30,0.67,car,0.32
8,2,61.08,N/A,0.0,False,317,96,383,191,0.6,truck,0.32
8,1,19.09,N/A,0.0,False,222,49,250,73,0.57,car,0.32
9,1,19.09,N/A,0.0,False,241,16,257,30,0.66,car,0.36
9,1,19.09,N/A,0.0,False,258,30,278,45,0.53,car,0.36
9,1,19.09,N/A,0.0,False,222,49,250,72,0.5,car,0.36
10,1,19.09,N/A,0.0,False,241,16,257,30,0.67,car,0.4
10,1,19.09,N/A,0.0,False,222,48,251,71,0.57,car,0.4
10,3,57.38,N/A,0.0,False,258,29,277,44,0.54,car,0.4
11,3,57.37,N/A,0.0,False,241,16,257,30,0.72,car,0.44
11,1,19.09,N/A,0.0,False,223,46,251,70,0.67,car,0.44
11,4,81.56,N/A,0.0,True,182,296,282,359,0.63,car,0.44
11,2,56.57,N/A,0.0,False,315,91,377,176,0.55,truck,0.44
11,3,57.37,N/A,0.0,False,258,29,278,44,0.52,car,0.44
12,3,57.37,N/A,0.0,False,242,16,257,29,0.71,car,0.48
12,1,19.09,N/A,0.0,False,223,45,251,69,0.67,car,0.48
12,4,80.15,N/A,0.0,True,183,284,282,360,0.62,car,0.48
12,2,53.99,N/A,0.0,False,315,88,375,171,0.51,truck,0.48
13,1,19.09,N/A,0.0,False,224,45,251,69,0.69,car,0.52
13,3,57.37,N/A,0.0,False,242,15,257,29,0.68,car,0.52
13,2,52.6,N/A,0.0,False,315,84,373,167,0.6,truck,0.52
13,3,57.37,N/A,0.0,False,258,29,278,43,0.58,car,0.52
13,4,79.56,N/A,0.0,False,184,273,282,359,0.57,car,0.52
14,3,57.37,N/A,0.0,False,242,15,257,28,0.7,car,0.56
14,1,19.09,N/A,0.0,False,224,45,251,68,0.61,car,0.56
14,3,57.37,N/A,0.0,False,258,28,278,43,0.58,car,0.56
14,4,79.38,N/A,0.0,False,181,263,283,358,0.55,truck,0.56
15,3,57.37,N/A,0.0,False,242,15,257,28,0.71,car,0.6
15,1,19.09,N/A,0.0,False,225,45,251,67,0.66,car,0.6
15,2,51.69,N/A,0.0,False,315,80,368,159,0.64,truck,0.6
15,3,57.37,N/A,0.0,False,258,28,278,43,0.55,car,0.6
16,1,19.09,N/A,0.0,False,225,45,251,66,0.68,car,0.64
16,3,57.37,N/A,0.0,False,242,15,257,28,0.67,car,0.64
16,3,57.37,N/A,0.0,False,258,27,278,42,0.54,car,0.64
17,1,19.09,N/A,0.0,False,226,43,250,66,0.66,car,0.68
17,3,57.37,N/A,0.0,False,242,15,257,28,0.6,car,0.68
17,3,57.37,N/A,0.0,False,259,27,278,41,0.53,car,0.68
17,2,50.55,N/A,0.0,False,314,78,366,151,0.5,truck,0.68
17,4,81.75,N/A,0.0,True,198,235,283,334,0.5,bus,0.68
18,1,19.09,N/A,0.0,False,227,42,251,64,0.73,car,0.72
18,4,86.93,N/A,0.0,True,202,227,284,321,0.6,car,0.72
18,3,57.37,N/A,0.0,False,242,15,257,27,0.59,car,0.72
18,2,49.14,N/A,0.0,False,313,76,364,148,0.53,truck,0.72
19,1,19.09,N/A,0.0,False,227,41,251,63,0.75,car,0.76
19,4,94.76,N/A,0.0,True,205,220,285,308,0.63,car,0.76
19,3,57.37,N/A,0.0,False,242,15,257,27,0.57,car,0.76
20,1,19.09,N/A,0.0,False,227,41,251,63,0.82,car,0.8
20,2,47.67,N/A,0.0,False,313,69,362,142,0.6,bus,0.8
20,3,57.37,N/A,0.0,False,243,15,257,27,0.54,car,0.8
20,4,103.46,N/A,0.0,True,207,212,285,297,0.51,car,0.8
20,3,57.37,N/A,0.0,False,259,25,278,40,0.5,car,0.8
21,4,111.16,N/A,0.0,True,210,205,285,287,0.78,car,0.84
21,1,19.09,N/A,0.0,False,227,40,251,62,0.74,car,0.84
21,3,57.37,N/A,0.0,False,259,25,278,40,0.51,car,0.84
21,3,57.37,N/A,0.0,False,243,14,257,26,0.51,car,0.84
22,4,116.67,N/A,0.0,True,212,198,286,276,0.77,car,0.88
22,1,19.09,N/A,0.0,False,228,40,251,61,0.74,car,0.88
22,3,57.37,N/A,0.0,False,259,24,278,39,0.52,car,0.88
23,1,19.09,N/A,0.0,False,228,40,251,61,0.7,car,0.92
23,2,45.12,N/A,0.0,False,312,66,357,132,0.63,truck,0.92
23,4,118.55,N/A,0.0,True,212,193,286,266,0.59,car,0.92
24,4,117.33,N/A,0.0,True,211,187,286,257,0.76,car,0.96
24,2,42.23,N/A,0.0,False,312,64,356,130,0.66,truck,0.96
24,1,19.09,N/A,0.0,False,228,39,252,60,0.56,car,0.96
25,4,114.5,N/A,0.0,True,217,182,286,249,0.71,car,1.0
25,1,19.09,N/A,0.0,False,229,38,251,58,0.56,car,1.0
25,3,57.37,N/A,0.0,False,260,23,278,39,0.51,car,1.0
25,2,40.44,N/A,0.0,False,311,63,354,127,0.51,bus,1.0
26,1,19.09,N/A,0.0,False,229,38,252,58,0.7,car,1.04
26,2,38.51,N/A,0.0,False,311,62,353,124,0.56,bus,1.04
26,4,111.89,N/A,0.0,True,220,176,286,241,0.55,car,1.04
26,3,57.37,N/A,0.0,False,260,23,278,38,0.5,car,1.04
27,1,19.09,N/A,0.0,False,229,38,252,58,0.71,car,1.08
27,2,35.92,N/A,0.0,False,311,61,353,121,0.63,bus,1.08
27,4,108.33,N/A,0.0,True,222,171,286,232,0.59,car,1.08
28,1,19.09,N/A,0.0,False,229,38,252,57,0.68,car,1.12
